iter	Passed	Remaining
0	0	71
1	1	64
2	1	61
3	2	56
4	2	55
5	3	54
6	4	53
7	4	53
8	6	60
9	7	64
10	8	69
11	9	71
12	10	71
13	11	70
14	12	68
15	12	67
16	13	65
17	13	63
18	14	62
19	15	61
20	16	60
21	16	59
22	17	58
23	18	57
24	18	56
25	19	55
26	20	55
27	21	55
28	22	54
29	23	53
30	23	52
31	24	51
32	24	50
33	25	49
34	26	48
35	26	47
36	27	46
37	28	46
38	28	45
39	29	44
40	30	43
41	30	42
42	31	41
43	31	40
44	32	39
45	33	38
46	34	38
47	35	38
48	36	37
49	36	36
50	37	35
51	37	35
52	38	34
53	39	33
54	39	32
55	40	31
56	41	31
57	41	30
58	42	29
59	43	28
60	44	28
61	44	27
62	45	26
63	46	26
64	47	25
65	48	24
66	49	24
67	94	44
68	95	42
69	95	41
70	96	39
71	97	37
72	98	36
73	99	34
74	100	33
75	101	32
76	103	31
77	104	29
78	106	28
79	107	26
80	108	25
81	109	24
82	110	22
83	110	21
84	111	19
85	112	18
86	113	16
87	114	15
88	114	14
89	115	12
90	116	11
91	117	10
92	118	8
93	119	7
94	120	6
95	120	5
96	121	3
97	122	2
98	123	1
99	123	0
