iter	Passed	Remaining
0	145	145174
1	146	73042
2	147	49121
3	148	36993
4	149	29714
5	150	24865
6	150	21397
7	151	18787
8	152	16764
9	153	15149
10	153	13811
11	154	12694
12	154	11761
13	155	10965
14	156	10268
15	157	9657
16	157	9115
17	158	8634
18	158	8205
19	159	7818
20	161	7515
21	161	7200
22	162	6908
23	163	6641
24	164	6396
25	164	6170
26	165	5959
27	165	5761
28	166	5578
29	167	5408
30	167	5251
31	168	5103
32	169	4964
33	170	4832
34	170	4709
35	171	4589
36	172	4477
37	172	4372
38	173	4272
39	174	4190
40	175	4103
41	176	4024
42	177	3942
43	177	3863
44	178	3787
45	179	3714
46	179	3644
47	180	3575
48	180	3512
49	181	3451
50	182	3393
51	183	3337
52	183	3281
53	184	3226
54	184	3173
55	185	3122
56	185	3073
57	186	3032
58	187	2995
59	188	2959
60	189	2918
61	190	2880
62	191	2841
63	191	2801
64	192	2764
65	192	2727
66	193	2691
67	193	2655
68	194	2621
69	194	2587
70	195	2554
71	195	2523
72	196	2492
73	196	2462
74	197	2432
75	197	2404
76	198	2376
77	198	2349
78	199	2323
79	199	2297
80	200	2272
81	200	2249
82	201	2222
83	201	2199
84	202	2176
85	203	2158
86	203	2139
87	204	2119
88	205	2101
89	205	2080
90	206	2061
91	206	2042
92	207	2023
93	208	2005
94	208	1986
95	209	1968
96	209	1950
97	210	1933
98	210	1916
99	211	1899
100	211	1883
101	212	1867
102	212	1851
103	213	1835
104	213	1820
105	214	1805
106	214	1790
107	215	1776
108	215	1763
109	216	1749
110	216	1735
111	217	1722
112	218	1711
113	219	1702
114	219	1691
115	220	1679
116	220	1666
117	221	1654
118	221	1643
119	222	1631
120	222	1619
121	223	1607
122	223	1596
123	224	1585
124	224	1574
125	225	1563
126	225	1552
127	226	1542
128	226	1531
129	227	1521
130	228	1513
131	228	1504
132	229	1494
133	229	1485
134	230	1475
135	230	1466
136	231	1456
137	231	1447
138	232	1438
139	233	1432
140	233	1424
141	234	1415
142	235	1408
143	235	1400
144	236	1391
145	236	1383
146	237	1375
147	237	1367
148	238	1360
149	238	1352
150	239	1344
151	239	1337
152	240	1329
153	240	1321
154	241	1314
155	241	1307
156	242	1300
157	242	1293
158	243	1286
159	243	1279
160	244	1271
161	244	1264
162	245	1258
163	245	1251
164	246	1245
165	246	1238
166	247	1232
167	248	1228
168	248	1224
169	249	1219
170	250	1213
171	250	1207
172	251	1201
173	251	1195
174	252	1189
175	252	1184
176	253	1178
177	253	1172
178	254	1166
179	254	1161
180	255	1155
181	256	1150
182	256	1145
183	257	1140
184	257	1134
185	258	1129
186	258	1124
187	259	1118
188	259	1113
189	260	1108
190	260	1103
191	261	1098
192	261	1093
193	262	1088
194	262	1085
195	264	1083
196	264	1079
197	265	1074
198	265	1070
199	266	1065
200	266	1060
201	267	1056
202	267	1051
203	268	1047
204	268	1042
205	269	1038
206	270	1034
207	270	1030
208	271	1026
209	271	1022
210	272	1018
211	272	1014
212	273	1009
213	273	1005
214	274	1001
215	274	997
216	275	993
217	275	989
218	276	985
219	276	981
220	277	977
221	278	974
222	278	971
223	279	968
224	280	965
225	280	961
226	281	957
227	281	954
228	282	950
229	282	947
230	283	943
231	283	939
232	284	936
233	285	933
234	285	930
235	286	926
236	286	923
237	287	919
238	287	916
239	288	913
240	289	910
241	289	907
242	290	904
243	290	900
244	291	897
245	291	894
246	292	892
247	293	890
248	294	887
249	294	884
250	295	881
251	296	878
